nombre_comercial;direccion;horario;cocina;promedio plato/ persona
MC Donalds Avenida Jiménez;Avenida Jiménez No 7 - 25;11am a 10pm;rápida hamburguesas;22000
Presto Carrera 7;Carrera 7 No 12B - 72;12m a 10 pm;rápida hamburguesas;22000
Enchiladas Cocina Mexicana;Calle 10 No 2 - 12;12 m a 8 pm;mexicana;35000
Bogota Beer Company;Carrera 4 No 15 - 01;12:30 pm a 3 am;bar;28000
"PPC Pollo; Pizza; Carne";Carrera 7 No 11 - 96/98;11am a 11 pm;pollo pizza carne;25000
T-Bone;Carrera 4 No 12 C - 34;L-S 12m a 10 pm;parrilla carnes;40000
Hamburguesas el Corral Quinta de Bolívar;Calle 19 A No 04 - 08 Este;9 am a 5 pm;rápida hamburguesas;25000
Hamburguesas el Corral La Candelaria;Calle 11 No 2 - 16;9 am a 6 pm;rápida hamburguesas;25000
Marfalitos;Calle 12 No 7 - 32 Piso 4;L-V de 12m a 3:30 pm;carnes;30000
El Gato Gris;Carrera 1A No 12 B  - 12;8am a 3 am;carnes parrilla comida internacional desayunos;35000
Cafetería Romana;Avenida Jiménez No  6 - 65;7am a 9:30 pm;Italiana desayunos;31000
Hamburguesas el Corral Edificio Continental;Avenida Jiménez No 4 - 16 Local 21 Mezzanine;11 am a 6 pm;rápida hamburguesas;22000
Restaurante Casa Vieja;Avenida Jiménez No 3 - 57;12 m- 5pm;colombiana;50000
Hamburguesas del rodeo;Carrera 7 No 13 - 41 Interior 101;12 m-10 pm;rápida hamburguesas;25000
Restaurante Félix;Avenida Jiménez No 4 - 80;L-S 10 am a 6 pm;Española;45000
Corral Gourmet La Candelaria;Calle 11 No 5 - 60;9 am- 5 pm;Americana;45000
"PPC Pollo; Pizza; Carne";Avenida Jiménez No 7  - 45;11am a 11 pm;pollo pizza carne;25000
Capital Cocina Y Café;Calle 10 No 2 - 99;10 am 10 pm;natural variada;35000
Crepes & Waffles;Avenida Calle 13 No 4 - 55;11 am a 8 pm;latina;30000
El Olivar Restaurante;Carrera 6 No 10 - 40;8am a 8 pm;fusión;30000
Sopas de Mamá y Postres de la Abuela Sucursal Plaza de Bolívar;Carrera 9 No 10 - 59;12 m a 3.30 pm;colombiana;28000
